Customer_ID,Age,Income,City,Purchase_Score,Age_was_missing,Income_was_missing,Purchase_Score_was_missing
101,22.0,25000.0,Bengaluru,75.0,0,0,0
102,25.0,47000.0,Hyderabad,82.0,0,1,0
103,30.5,45000.0,Chennai,68.0,1,0,0
104,31.0,52000.0,Mumbai,77.0,0,0,1
105,28.0,38000.0,Delhi,71.0,0,0,0
106,30.5,42000.0,Bengaluru,79.0,1,0,0
107,35.0,47000.0,Hyderabad,88.0,0,1,0
108,29.0,35000.0,Bengaluru,65.0,0,0,0
109,42.0,68000.0,Mumbai,91.0,0,0,0
110,30.5,55000.0,Delhi,73.0,1,0,0
111,26.0,47000.0,Bengaluru,77.0,0,1,0
112,33.0,47000.0,Hyderabad,77.0,0,0,1
113,38.0,72000.0,Chennai,94.0,0,0,0
114,27.0,47000.0,Delhi,69.0,0,1,0
115,45.0,80000.0,Mumbai,96.0,0,0,0
116,30.5,41000.0,Bengaluru,74.0,1,0,0
117,30.0,47000.0,Chennai,81.0,0,1,0
118,36.0,60000.0,Bengaluru,89.0,0,0,0
119,24.0,32000.0,Hyderabad,67.0,0,0,0
120,40.0,70000.0,Delhi,77.0,0,0,1
