Customer_ID,City,Product,Education_Level,Sales,Product_Label,Education_Ordinal,Sales_StandardScaler,Sales_MinMaxScaler,Sales_RobustScaler
101,Bengaluru,Laptop,Graduate,55000,0,1.0,0.7563876534613689,0.6666666666666667,0.6323529411764706
102,Hyderabad,Phone,Postgraduate,30000,1,2.0,-0.5567853560201744,0.25,-0.10294117647058823
103,Chennai,Tablet,Graduate,18000,2,1.0,-1.1871084005713153,0.04999999999999999,-0.45588235294117646
104,Mumbai,Laptop,Postgraduate,65000,0,2.0,1.2816568572539864,0.8333333333333335,0.9264705882352942
105,Delhi,Phone,High School,25000,1,0.0,-0.819419957916483,0.16666666666666669,-0.25
106,Bengaluru,Phone,Graduate,22000,1,1.0,-0.9770007190542682,0.1166666666666667,-0.3382352941176471
107,Hyderabad,Laptop,Postgraduate,58000,0,2.0,0.9139684145991542,0.7166666666666667,0.7205882352941176
108,Chennai,Phone,Graduate,27000,1,1.0,-0.7143661171579596,0.2,-0.19117647058823528
109,Mumbai,Tablet,High School,15000,2,0.0,-1.3446891617091004,0.0,-0.5441176470588235
110,Delhi,Laptop,Postgraduate,62000,0,2.0,1.124076096116201,0.7833333333333334,0.8382352941176471
111,Bengaluru,Tablet,Graduate,28000,2,1.0,-0.6618391967786978,0.21666666666666667,-0.16176470588235295
112,Hyderabad,Phone,High School,35000,1,0.0,-0.2941507541238657,0.33333333333333337,0.04411764705882353
113,Mumbai,Laptop,Postgraduate,72000,0,2.0,1.6493452999088185,0.95,1.1323529411764706
114,Delhi,Tablet,Graduate,20000,2,1.0,-1.0820545598127917,0.08333333333333337,-0.39705882352941174
115,Bengaluru,Phone,Postgraduate,40000,1,2.0,-0.03151615222755704,0.41666666666666674,0.19117647058823528
116,Chennai,Laptop,Graduate,50000,0,1.0,0.49375305156506033,0.5833333333333334,0.4852941176470588
117,Mumbai,Phone,High School,23000,1,0.0,-0.9244737986750066,0.13333333333333336,-0.3088235294117647
118,Delhi,Laptop,Graduate,60000,0,1.0,1.0190222553576775,0.75,0.7794117647058824
119,Hyderabad,Tablet,Postgraduate,32000,2,2.0,-0.4517315152616509,0.2833333333333333,-0.04411764705882353
120,Bengaluru,Laptop,Postgraduate,75000,0,2.0,1.8069260610466036,1.0,1.2205882352941178
